Date : 2026-01-01 16:03:52
Directory : d:\CV\Project-Web-Real-Madrid-V3
Total : 152 files,  28462 codes, 1231 comments, 3152 blanks, all 32845 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\orders\MyOrders.vue                              | vue                |        193 |          2 |         18 |        213 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\orders\OrderDetail.vue                           | vue                |        327 |          4 |         58 |        389 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\palmares\Palmares.vue                            | vue                |         31 |          0 |         10 |         41 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\palmares\PalmaresList.vue                        | vue                |         92 |          4 |         17 |        113 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\palmares\PalmaresSummary.vue                     | vue                |        100 |          1 |         17 |        118 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\partners\Sponsors.vue                            | vue                |        167 |          4 |         16 |        187 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\pay\ProviderSandbox.vue                          | vue                |         55 |          1 |         11 |         67 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\players\PlayerDetail.vue                         | vue                |        304 |          9 |         42 |        355 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\players\Players.vue                              | vue                |        288 |         12 |         43 |        343 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\tickets\TicketOrderDetail.vue                    | vue                |        164 |          1 |         28 |        193 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\user\EditProfile.vue                             | vue                |        120 |          1 |         25 |        146 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\user\Membership.vue                              | vue                |         79 |          0 |         20 |         99 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\user\Profile.vue                                 | vue                |        284 |          6 |         46 |        336 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\router\index.js                                        | JavaScript         |        216 |         19 |         18 |        253 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\services\api.js                                        | JavaScript         |         59 |         19 |         15 |         93 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\services\assets.js                                     | JavaScript         |         95 |         17 |         20 |        132 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\services\highlights.js                                 | JavaScript         |         19 |         10 |          6 |         35 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\store\auth.js                                          | JavaScript         |         60 |         10 |         14 |         84 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\store\cart.js                                          | JavaScript         |         70 |          3 |          2 |         75 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\store\orders.js                                        | JavaScript         |         46 |          1 |          2 |         49 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\styles\christmas.css                                   | PostCSS            |         29 |         14 |         10 |         53 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\styles\dark-mode.css                                   | PostCSS            |        228 |         61 |         66 |        355 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\src\utils\money.js                                         | JavaScript         |          4 |          2 |          1 |          7 |
| d:\CV\Project-Web-Real-Madrid-V3\frontend\vite.config.js                                             | JavaScript         |         16 |          2 |          3 |         21 |
| d:\CV\Project-Web-Real-Madrid-V3\package-lock.json                                                   | JSON               |      1,685 |          0 |          1 |      1,686 |
| d:\CV\Project-Web-Real-Madrid-V3\package.json                                                        | JSON               |         23 |          0 |          1 |         24 |
| Total                                                                                                |                    |     28,462 |      1,231 |      3,152 |     32,845 |
+------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
