"filename", "language", "JSON", "JavaScript", "Markdown", "PostCSS", "vue", "MS SQL", "HTML", "JSON with Comments", "comment", "blank", "total"
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\events\EventProvider.vue", "vue", 0, 0, 0, 0, 82, 0, 0, 0, 2, 15, 99
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\events\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\events\useEvent.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 0, 8, 7, 42
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\events\useGreeting.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 0, 16, 7, 50
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\main.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 1, 5, 23
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\CartDetail.vue", "vue", 0, 0, 0, 0, 138, 0, 0, 0, 2, 16, 156
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\Home.vue", "vue", 0, 0, 0, 0, 1822, 0, 0, 0, 46, 294, 2162
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\Login.vue", "vue", 0, 0, 0, 0, 108, 0, 0, 0, 3, 11, 122
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\Matches.vue", "vue", 0, 0, 0, 0, 197, 0, 0, 0, 6, 45, 248
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\MyTickets.vue", "vue", 0, 0, 0, 0, 111, 0, 0, 0, 2, 11, 124
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\News.vue", "vue", 0, 0, 0, 0, 147, 0, 0, 0, 4, 18, 169
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\NewsDetail.vue", "vue", 0, 0, 0, 0, 64, 0, 0, 0, 1, 15, 80
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\Register.vue", "vue", 0, 0, 0, 0, 94, 0, 0, 0, 1, 11, 106
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\Shop.vue", "vue", 0, 0, 0, 0, 775, 0, 0, 0, 15, 111, 901
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\Tickets.vue", "vue", 0, 0, 0, 0, 392, 0, 0, 0, 8, 78, 478
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\WalletBalance.vue", "vue", 0, 0, 0, 0, 95, 0, 0, 0, 1, 11, 107
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\admin\AdminDashboard.vue", "vue", 0, 0, 0, 0, 228, 0, 0, 0, 13, 30, 271
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\admin\EventsPage.vue", "vue", 0, 0, 0, 0, 187, 0, 0, 0, 7, 30, 224
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\admin\HighlightsUpload.vue", "vue", 0, 0, 0, 0, 139, 0, 0, 0, 1, 22, 162
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\admin\ManageHighlights.vue", "vue", 0, 0, 0, 0, 200, 0, 0, 0, 4, 14, 218
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\admin\ManageMatches.vue", "vue", 0, 0, 0, 0, 315, 0, 0, 0, 5, 61, 381
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\admin\ManageNews.vue", "vue", 0, 0, 0, 0, 248, 0, 0, 0, 5, 33, 286
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\admin\ManageOrders.vue", "vue", 0, 0, 0, 0, 237, 0, 0, 0, 2, 22, 261
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\admin\ManagePlayers.vue", "vue", 0, 0, 0, 0, 940, 0, 0, 0, 13, 101, 1054
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\admin\ManageProducts.vue", "vue", 0, 0, 0, 0, 209, 0, 0, 0, 3, 23, 235
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\admin\ManageTickets.vue", "vue", 0, 0, 0, 0, 217, 0, 0, 0, 2, 25, 244
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\admin\ManageUsers.vue", "vue", 0, 0, 0, 0, 112, 0, 0, 0, 1, 16, 129
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\admin\MatchForm.vue", "vue", 0, 0, 0, 0, 228, 0, 0, 0, 9, 26, 263
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\admin\WalletAdmin.vue", "vue", 0, 0, 0, 0, 89, 0, 0, 0, 0, 20, 109
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\admin\wallet\AdminCashback.vue", "vue", 0, 0, 0, 0, 39, 0, 0, 0, 0, 3, 42
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\admin\wallet\AdminWithdrawals.vue", "vue", 0, 0, 0, 0, 67, 0, 0, 0, 0, 7, 74
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\highlights\HighlightDetail.vue", "vue", 0, 0, 0, 0, 121, 0, 0, 0, 5, 18, 144
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\highlights\HighlightsList.vue", "vue", 0, 0, 0, 0, 95, 0, 0, 0, 0, 14, 109
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\orders\MyOrders.vue", "vue", 0, 0, 0, 0, 193, 0, 0, 0, 2, 18, 213
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\orders\OrderDetail.vue", "vue", 0, 0, 0, 0, 327, 0, 0, 0, 4, 58, 389
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\palmares\Palmares.vue", "vue", 0, 0, 0, 0, 31, 0, 0, 0, 0, 10, 41
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\palmares\PalmaresList.vue", "vue", 0, 0, 0, 0, 92, 0, 0, 0, 4, 17, 113
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\palmares\PalmaresSummary.vue", "vue", 0, 0, 0, 0, 100, 0, 0, 0, 1, 17, 118
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\partners\Sponsors.vue", "vue", 0, 0, 0, 0, 167, 0, 0, 0, 4, 16, 187
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\pay\ProviderSandbox.vue", "vue", 0, 0, 0, 0, 55, 0, 0, 0, 1, 11, 67
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\players\PlayerDetail.vue", "vue", 0, 0, 0, 0, 304, 0, 0, 0, 9, 42, 355
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\players\Players.vue", "vue", 0, 0, 0, 0, 288, 0, 0, 0, 12, 43, 343
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\tickets\TicketOrderDetail.vue", "vue", 0, 0, 0, 0, 164, 0, 0, 0, 1, 28, 193
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\user\EditProfile.vue", "vue", 0, 0, 0, 0, 120, 0, 0, 0, 1, 25, 146
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\user\Membership.vue", "vue", 0, 0, 0, 0, 79, 0, 0, 0, 0, 20, 99
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\pages\user\Profile.vue", "vue", 0, 0, 0, 0, 284, 0, 0, 0, 6, 46, 336
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\router\index.js", "JavaScript", 0, 216, 0, 0, 0, 0, 0, 0, 19, 18, 253
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\services\api.js", "JavaScript", 0, 59, 0, 0, 0, 0, 0, 0, 19, 15, 93
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\services\assets.js", "JavaScript", 0, 95, 0, 0, 0, 0, 0, 0, 17, 20, 132
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\services\highlights.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 10, 6, 35
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\store\auth.js", "JavaScript", 0, 60, 0, 0, 0, 0, 0, 0, 10, 14, 84
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\store\cart.js", "JavaScript", 0, 70, 0, 0, 0, 0, 0, 0, 3, 2, 75
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\store\orders.js", "JavaScript", 0, 46, 0, 0, 0, 0, 0, 0, 1, 2, 49
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\styles\christmas.css", "PostCSS", 0, 0, 0, 29, 0, 0, 0, 0, 14, 10, 53
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\styles\dark-mode.css", "PostCSS", 0, 0, 0, 228, 0, 0, 0, 0, 61, 66, 355
"d:\CV\Project-Web-Real-Madrid-V3\frontend\src\utils\money.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 2, 1, 7
"d:\CV\Project-Web-Real-Madrid-V3\frontend\vite.config.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 2, 3, 21
"d:\CV\Project-Web-Real-Madrid-V3\package-lock.json", "JSON", 1685, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1686
"d:\CV\Project-Web-Real-Madrid-V3\package.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"Total", "-", 8851, 6736, 18, 257, 11846, 722, 13, 8, 1231, 3152, 32834
